Gene	NAD.count	total.count
AT3G15353.1	5	26
AT3G15353.2	4	25
AT3G15580.1	1	3
AT3G16080.1	1	2
AT3G16080.2	1	1
AT3G16140.1	5	29
AT3G16240.1	6	19
AT3G16420.1	1	11
AT3G16420.2	1	11
AT3G16420.3	1	11
AT3G16450.1	1	4
AT3G16450.2	1	4
AT3G16450.3	1	4
AT3G16570.1	1	4
AT3G16570.2	1	3
AT3G16570.3	1	3
AT3G16640.1	8	40
AT3G16670.1	1	1
AT3G17210.1	1	4
AT3G17210.2	1	4
AT3G18430.1	1	1
AT3G18430.2	1	1
AT3G18430.3	1	1
AT3G21055.1	8	40
AT3G21055.2	8	40
AT3G22240.1	1	4
AT3G22560.1	1	1
AT3G24570.1	1	1
AT3G24570.2	1	1
AT3G24770.1	1	1
AT3G24830.1	1	5
AT3G26060.1	1	4
AT3G26060.2	1	4
AT3G26060.3	1	4
AT3G26070.1	1	1
AT3G26520.1	2	19
AT3G26650.1	1	5
AT3G26920.1	1	1
AT3G26920.2	1	1
AT3G26920.3	1	1
AT3G27690.1	2	14
AT3G27690.2	2	14
AT3G27850.1	1	5
AT3G43980.1	1	1
AT3G44798.1	1	1
AT3G46010.1	1	1
AT3G46010.2	1	1
AT3G46060.1	1	4
AT3G47070.1	1	11
AT3G47470.1	4	27
AT3G49120.1	1	1
AT3G50820.1	3	17
AT3G51260.1	1	1
AT3G51260.2	1	1
AT3G51510.1	1	1
AT3G51600.1	1	3
AT3G52590.1	2	7
AT3G52748.1	1	1
AT3G52860.1	1	1
AT3G53740.1	2	5
AT3G53740.2	2	5
AT3G53740.3	2	5
AT3G53740.4	2	5
AT3G53870.1	1	3
AT3G53890.1	1	4
AT3G53890.2	1	4
AT3G54210.1	1	8
AT3G54890.1	4	44
AT3G54890.2	4	28
AT3G54890.3	4	37
AT3G54890.4	4	41
AT3G54900.1	1	4
AT3G55750.1	2	5
AT3G55800.1	1	4
AT3G56020.1	1	4
AT3G56290.1	1	1
AT3G56340.1	1	6
AT3G56800.1	1	1
AT3G56930.1	1	1
AT3G56930.2	1	1
AT3G60245.1	3	7
AT3G61470.1	6	36
AT3G61870.1	1	6
AT3G61870.2	1	6
AT3G62290.1	1	10
AT3G62290.2	1	8
AT3G62290.3	1	8
AT3G62400.1	1	1
AT3G62400.2	1	1
AT3G62550.1	1	1
AT4G00165.1	1	4
AT4G00430.1	1	5
AT4G00430.2	1	5
AT4G01150.1	3	14
AT4G01150.2	3	14
AT4G02080.1	1	1
AT4G02530.1	1	1
AT4G02530.2	1	1
AT4G02530.3	1	1
AT4G02620.1	1	1
AT4G02770.1	5	23
AT4G03520.1	1	4
AT4G04020.1	1	1
AT4G04800.1	1	1
AT4G04840.1	1	1
AT4G05050.1	1	15
AT4G05050.2	1	15
AT4G05050.3	1	15
AT4G05180.1	2	14
AT4G05180.2	2	14
AT4G05320.1	1	16
AT4G05320.2	2	21
AT4G05320.3	2	17
AT4G05320.4	2	19
AT4G05320.6	1	17
AT4G05775.1	1	1
AT4G08785.2	1	1
AT4G09160.1	1	1
AT4G09160.2	1	1
AT4G09160.3	1	1
AT4G09320.1	1	1
AT4G09800.1	1	5
AT4G10270.1	1	1
AT4G10340.1	1	29
AT4G10810.1	1	3
AT4G11010.1	1	2
AT4G11220.1	1	1
AT4G11410.1	1	1
AT4G11410.2	1	1
AT4G12800.1	10	38
AT4G12800.2	10	38
AT4G13200.1	1	1
AT4G14320.1	2	2
AT4G14320.2	2	2
AT4G14710.1	1	4
AT4G14710.2	1	4
AT4G14710.3	1	4
AT4G14710.4	1	4
AT4G14710.5	1	4
AT4G14710.6	1	1
AT4G15248.1	1	1
AT4G16520.1	1	2
AT4G16520.2	1	2
AT4G16520.3	1	2
AT4G16980.1	2	17
AT4G16983.1	2	16
AT4G17340.1	1	2
AT4G17390.1	1	5
AT4G17560.1	1	2
AT4G17695.1	1	1
AT4G18100.1	1	2
AT4G19045.1	1	1
AT4G19830.1	1	1
AT4G20480.1	1	2
AT4G20480.2	1	2
AT4G21110.1	1	1
AT4G21280.1	6	15
AT4G21280.2	6	14
AT4G21534.1	1	1
AT4G21534.2	1	1
AT4G21810.1	1	1
AT4G23400.1	1	8
AT4G23496.1	1	1
AT4G23670.1	7	36
AT4G25050.1	1	4
AT4G25050.2	1	4
AT4G25100.1	1	14
AT4G25100.2	1	14
AT4G25100.3	1	14
AT4G25100.4	1	13
AT4G25100.5	1	13
AT4G25570.1	1	3
AT4G25570.2	1	3
AT4G28750.1	4	21
AT4G29030.1	1	2
AT4G29350.1	1	4
AT4G30270.1	1	2
AT4G30280.1	1	1
AT4G30750.1	1	1
AT4G32040.1	1	1
AT4G32040.2	1	1
AT4G32590.1	1	2
AT4G32590.2	1	2
AT4G32590.3	1	2
AT4G32590.4	1	2
AT4G32590.5	1	2
AT4G33625.1	1	1
AT4G33625.2	1	1
